year,species_code,sex,sex_desc,iss,nss,nhl
1992,21720,12,female_male,389.7738526209943,717,26
1992,21740,0,total_pre,138.07527749356228,1263,30
1992,21740,1,male,131.15287943489406,595,30
1992,21740,2,female,126.65049845760626,638,30
1992,21740,4,total_post,137.09488979353117,1263,30
1992,21740,12,female_male,275.8185104256684,1233,30
1993,10210,0,total_pre,175.49247618763806,549,20
1993,10210,1,male,106.23283461774649,192,15
1993,10210,2,female,141.74637491317517,357,20
1993,10210,4,total_post,169.63457670643774,549,20
1993,10210,12,female_male,264.65032301461156,549,20
1993,21720,0,total_pre,228.80368070581025,635,32
1993,21720,1,male,128.9437531810906,271,29
1993,21720,2,female,164.06322713469666,316,29
1993,21720,4,total_post,183.4124333961394,635,32
1993,21720,12,female_male,310.8807239223095,587,29
1993,21740,0,total_pre,178.15854859716643,1385,33
1993,21740,1,male,176.16019447512835,649,33
1993,21740,2,female,226.80562165787322,704,33
1993,21740,4,total_post,174.41619740082328,1385,33
1993,21740,12,female_male,428.08443806896014,1353,33
1994,10210,0,total_pre,310.33001364593747,522,14
1994,10210,1,male,185.8463574997516,231,14
1994,10210,2,female,170.62155850528816,291,14
1994,10210,4,total_post,306.82137533500986,522,14
1994,10210,12,female_male,366.2736468147938,522,14
1994,21720,0,total_pre,282.0224386555166,715,22
1994,21720,1,male,193.7421601652492,338,22
1994,21720,2,female,194.1671117066397,377,22
1994,21720,4,total_post,262.43665559377587,715,22
1994,21720,12,female_male,446.1063950399545,715,22
1994,21740,0,total_pre,259.8380514157727,1141,23
1994,21740,1,male,294.43128780194786,501,21
1994,21740,2,female,228.53169269381837,603,22
1994,21740,4,total_post,252.60069899555512,1141,23
1994,21740,12,female_male,575.8090691296919,1104,22
1995,10210,0,total_pre,360.6602757597827,647,20
1995,10210,1,male,176.34904642719317,272,19
1995,10210,2,female,259.8716518490618,375,20
1995,10210,4,total_post,371.9354187007019,647,20
1995,10210,12,female_male,441.2121932675438,647,20
1995,21720,0,total_pre,415.13074898461645,571,27
1995,21720,1,male,207.68126100217222,269,27
1995,21720,2,female,189.607325143842,301,26
1995,21720,4,total_post,301.41558402228384,571,27
1995,21720,12,female_male,463.79917050563057,570,27
1995,21740,0,total_pre,159.14059102887205,1156,26
1995,21740,1,male,153.3074177375146,551,25
1995,21740,2,female,196.22421377153398,581,24
1995,21740,4,total_post,158.08144036223817,1156,26
1995,21740,12,female_male,313.35898803782635,1132,25
1996,10210,0,total_pre,454.52423844368695,721,16
1996,10210,1,male,264.3091425685965,338,16
1996,10210,2,female,284.99426284898016,383,15
1996,10210,4,total_post,422.68616244208243,721,16
1996,10210,12,female_male,551.2478171089463,721,16
1996,21720,0,total_pre,235.4658400879263,711,21
1996,21720,1,male,200.47433108851467,364,21
1996,21720,2,female,139.2656776233233,347,21
1996,21720,4,total_post,196.4512461175294,711,21
1996,21720,12,female_male,365.20720340745066,711,21
1996,21740,0,total_pre,427.67126314055855,1387,28
1996,21740,1,male,258.1502428411146,587,28
1996,21740,2,female,333.4571421467318,711,28
1996,21740,4,total_post,419.56202718700166,1387,28
1996,21740,12,female_male,585.448109392382,1298,28
1997,10210,0,total_pre,240.13696259578478,466,11
1997,10210,1,male,164.37183329308323,223,11
1997,10210,2,female,143.69711953875185,231,11
1997,10210,4,total_post,241.13708262331306,466,11
1997,10210,12,female_male,310.9425699348734,454,11
1997,21720,0,total_pre,226.63469319469195,719,36
1997,21720,1,male,182.32211081894837,353,33
1997,21720,2,female,133.1634872796354,347,36
1997,21720,4,total_post,174.7316862176858,719,36
1997,21720,12,female_male,315.5522880994628,700,36
1997,21740,0,total_pre,125.88150416989451,1193,35
1997,21740,1,male,116.13554789867244,524,31
1997,21740,2,female,163.8393309332081,579,34
1997,21740,4,total_post,121.02350061799609,1193,35
1997,21740,12,female_male,290.5217825218938,1103,35
1998,10210,0,total_pre,369.2469639793742,570,15
1998,10210,1,male,181.8856943919471,244,14
1998,10210,2,female,252.80964671579585,326,15
1998,10210,4,total_post,358.36451503700107,570,15
1998,10210,12,female_male,449.48644795389885,570,15
1998,21720,0,total_pre,335.6037254894,635,31
1998,21720,1,male,183.33684602788065,292,27
1998,21720,2,female,214.56267871310445,325,30
1998,21720,4,total_post,278.850553861701,635,31
1998,21720,12,female_male,464.882303558636,617,31
1998,21740,0,total_pre,390.9046403164292,1233,32
1998,21740,1,male,215.25254093155678,558,31
1998,21740,2,female,252.96388598039982,602,30
1998,21740,4,total_post,379.07633949680235,1233,32
1998,21740,12,female_male,481.29582706325544,1160,31
1999,10210,0,total_pre,540.5933834170221,770,31
1999,10210,1,male,287.3872745741634,353,30
1999,10210,2,female,332.41866948215284,417,30
1999,10210,4,total_post,527.9378218407882,770,31
1999,10210,12,female_male,633.8682617837767,770,31
1999,21720,0,total_pre,449.9856481576294,860,45
1999,21720,1,male,244.7336742420428,404,44
1999,21720,2,female,267.4236475185949,446,44
1999,21720,4,total_post,414.8513873713281,860,45
1999,21720,12,female_male,581.3623843710345,850,45
1999,21740,0,total_pre,328.0967544318425,1364,52
1999,21740,1,male,221.79949066318557,627,50
1999,21740,2,female,273.4707809149824,656,50
1999,21740,4,total_post,328.4036810693993,1364,52
1999,21740,12,female_male,519.0761332853161,1283,50
2000,10210,0,total_pre,318.3043364362945,511,20
2000,10210,1,male,149.02098875288806,204,18
2000,10210,2,female,181.74321881634856,307,19
2000,10210,4,total_post,323.88854317943174,511,20
2000,10210,12,female_male,345.4660025203823,511,20
2000,21720,0,total_pre,247.74088898267567,860,38
2000,21720,1,male,202.73297198646327,414,36
2000,21720,2,female,161.80676019281756,434,37
2000,21720,4,total_post,215.96196026019652,860,38
2000,21720,12,female_male,395.03165792511527,848,38
2000,21740,0,total_pre,305.25248328957144,1545,54
2000,21740,1,male,227.87458967574423,690,48
2000,21740,2,female,212.7958989842615,805,51
2000,21740,4,total_post,306.45905889536823,1545,54
2000,21740,12,female_male,462.07424373459855,1495,51
2001,10210,0,total_pre,348.4677395403923,593,25
2001,10210,1,male,196.07380392436252,242,24
2001,10210,2,female,239.40680533582815,351,25
2001,10210,4,total_post,341.5905479885277,593,25
2001,10210,12,female_male,449.5910110363968,593,25
2001,21720,0,total_pre,312.0017899208953,920,53
2001,21720,1,male,357.5898213087537,472,52
2001,21720,2,female,234.44022745537356,448,49
2001,21720,4,total_post,303.06600950705354,920,53
2001,21720,12,female_male,629.2849487385631,920,53
2001,21740,0,total_pre,374.07049852778897,1573,59
2001,21740,1,male,295.7333007630384,725,55
2001,21740,2,female,308.882530630239,813,57
2001,21740,4,total_post,369.2543234438962,1573,59
2001,21740,12,female_male,627.792843834929,1538,57
2002,10210,0,total_pre,420.2700626981135,723,32
2002,10210,1,male,203.8948138035807,304,28
2002,10210,2,female,314.6628283972034,419,32
2002,10210,4,total_post,397.8057087421983,723,32
2002,10210,12,female_male,520.2530638910777,723,32
2002,21720,0,total_pre,494.2678582804622,870,47
2002,21720,1,male,349.8124239918445,415,43
2002,21720,2,female,349.81510294384367,447,46
2002,21720,4,total_post,478.52289233466354,870,47
2002,21720,12,female_male,752.9928385582505,862,47
2002,21740,0,total_pre,402.9321016824597,1651,68
2002,21740,1,male,214.05324068057826,702,62
2002,21740,2,female,325.334197753068,831,63
2002,21740,4,total_post,402.0883685868069,1651,68
2002,21740,12,female_male,538.061931107801,1533,64
2003,10210,0,total_pre,351.19851078534623,695,37
2003,10210,1,male,198.64158344692316,284,28
2003,10210,2,female,277.50356781579353,411,35
2003,10210,4,total_post,348.46476830944687,695,37
2003,10210,12,female_male,488.8436629754587,695,37
2003,21720,0,total_pre,299.74031737495255,1263,101
2003,21720,1,male,263.4071074977547,637,91
2003,21720,2,female,207.3589878386225,626,89
2003,21720,4,total_post,293.4488075117719,1263,101
2003,21720,12,female_male,496.43362883101395,1263,101
2003,21740,0,total_pre,333.0675360744955,1583,89
2003,21740,1,male,164.73110311105452,755,78
2003,21740,2,female,297.173236489046,801,81
2003,21740,4,total_post,307.8123591232037,1583,89
2003,21740,12,female_male,365.62048089273907,1556,88
2004,10210,0,total_pre,393.99497438167913,712,26
2004,10210,1,male,194.04999564210402,281,24
2004,10210,2,female,251.79421728944547,429,26
2004,10210,4,total_post,377.2398461477745,712,26
2004,10210,12,female_male,457.6527915425481,710,26
2004,21720,0,total_pre,417.7675336799763,995,50
2004,21720,1,male,332.0992045650869,506,48
2004,21720,2,female,319.601209637858,468,50
2004,21720,4,total_post,392.1444335295547,995,50
2004,21720,12,female_male,702.540110234973,974,50
2004,21740,0,total_pre,320.31615771263,1632,59
2004,21740,1,male,196.61677760035514,768,56
2004,21740,2,female,291.9071680516683,807,57
2004,21740,4,total_post,310.76897453432156,1632,59
2004,21740,12,female_male,481.4435702412448,1575,57
2005,10210,0,total_pre,430.65222084845084,653,35
2005,10210,1,male,231.84099153460875,273,33
2005,10210,2,female,284.49843020029454,379,34
2005,10210,4,total_post,423.07450362583387,653,35
2005,10210,12,female_male,526.968245499421,652,35
2005,21720,0,total_pre,235.43041219449043,1279,80
2005,21720,1,male,206.89136747953137,610,78
2005,21720,2,female,182.40359625095581,664,76
2005,21720,4,total_post,233.93958629645184,1279,80
2005,21720,12,female_male,419.45438379417044,1274,80
2005,21740,0,total_pre,401.56162717478804,1594,68
2005,21740,1,male,274.4086783853403,760,67
2005,21740,2,female,221.19651612327186,774,66
2005,21740,4,total_post,412.0957143049263,1594,68
2005,21740,12,female_male,529.4828909940754,1534,68
2006,10210,0,total_pre,307.07592403090763,426,39
2006,10210,1,male,163.23406326937717,186,31
2006,10210,2,female,179.58426452795842,240,34
2006,10210,4,total_post,312.1470055526019,426,39
2006,10210,12,female_male,354.91005692270835,426,39
2006,21720,0,total_pre,710.7562688785328,1300,111
2006,21720,1,male,497.58755284169706,617,97
2006,21720,2,female,563.8015495972096,656,106
2006,21720,4,total_post,664.992983306668,1300,111
2006,21720,12,female_male,1122.962679626209,1273,111
2006,21740,0,total_pre,490.7896327050499,1535,279
2006,21740,1,male,341.62609633400865,598,225
2006,21740,2,female,348.70542758173815,673,221
2006,21740,4,total_post,472.8834447668493,1535,279
2006,21740,12,female_male,717.320973087676,1271,245
2007,10210,0,total_pre,487.1623428522289,772,66
2007,10210,1,male,255.04362446280524,326,48
2007,10210,2,female,332.6671881777848,444,56
2007,10210,4,total_post,476.8637550222962,772,66
2007,10210,12,female_male,598.4785666540585,770,66
2007,21720,0,total_pre,56.4903193894636,1441,155
2007,21720,1,male,96.47489933534035,677,128
2007,21720,2,female,99.95498989920632,692,137
2007,21720,4,total_post,55.44808265480847,1441,155
2007,21720,12,female_male,214.02618290912304,1369,149
2007,21740,0,total_pre,259.1135598427395,1483,275
2007,21740,1,male,244.90156768769597,514,176
2007,21740,2,female,197.32077296442492,493,181
2007,21740,4,total_post,244.6248420255118,1483,275
2007,21740,12,female_male,468.50037244119,1007,199
2008,10210,0,total_pre,521.7105326582035,830,65
2008,10210,1,male,307.65190851029746,371,53
2008,10210,2,female,331.67189500696884,459,56
2008,10210,4,total_post,516.8472170433967,830,65
2008,10210,12,female_male,658.7957205942839,830,65
2008,21720,0,total_pre,294.17324064986906,1213,117
2008,21720,1,male,225.41017578917314,567,100
2008,21720,2,female,233.21120816803344,624,105
2008,21720,4,total_post,277.4056060359811,1213,117
2008,21720,12,female_male,538.9902537457094,1191,117
2008,21740,0,total_pre,454.62532727325686,1241,200
2008,21740,1,male,314.5455730971931,514,173
2008,21740,2,female,269.85214406918345,558,175
2008,21740,4,total_post,416.7413513453166,1241,200
2008,21740,12,female_male,611.6204542383897,1072,183
2009,10210,0,total_pre,422.86225434303174,751,70
2009,10210,1,male,221.7895598605247,318,51
2009,10210,2,female,300.5387259987101,433,63
2009,10210,4,total_post,422.68999828994174,751,70
2009,10210,12,female_male,548.2945205346228,751,70
2009,21720,0,total_pre,230.83554814874302,1412,135
2009,21720,1,male,364.65995609266037,692,117
2009,21720,2,female,400.290291727747,699,128
2009,21720,4,total_post,229.3733284368981,1412,135
2009,21720,12,female_male,850.7351543345422,1391,135
2009,21740,0,total_pre,241.2275128765461,1342,221
2009,21740,1,male,166.96085528380124,495,171
2009,21740,2,female,159.07756418382147,563,179
2009,21740,4,total_post,237.70395739385066,1342,221
2009,21740,12,female_male,340.80242569329545,1058,188
2010,10210,0,total_pre,656.4625488067489,1178,123
2010,10210,1,male,352.35280307343635,512,90
2010,10210,2,female,438.72335069240694,655,103
2010,10210,4,total_post,653.8953255428078,1178,123
2010,10210,12,female_male,813.582228152169,1167,121
2010,21720,0,total_pre,178.3909601449444,1467,160
2010,21720,1,male,139.32228678324628,700,120
2010,21720,2,female,168.61354742041212,745,141
2010,21720,4,total_post,174.5683473586703,1467,160
2010,21720,12,female_male,349.8892366311381,1445,154
2010,21740,0,total_pre,298.42315362626016,1385,214
2010,21740,1,male,227.51021658070218,557,193
2010,21740,2,female,238.2760555891313,620,200
2010,21740,4,total_post,290.8930773726366,1385,214
2010,21740,12,female_male,500.21961993170567,1177,204
2011,10210,0,total_pre,385.85387122207595,753,64
2011,10210,1,male,207.42570102757927,333,50
2011,10210,2,female,259.1832875035489,420,51
2011,10210,4,total_post,377.18941420879383,753,64
2011,10210,12,female_male,483.11372762675524,753,64
2011,21720,0,total_pre,233.93068529679212,1253,114
2011,21720,1,male,247.90256264690083,604,107
2011,21720,2,female,216.15176491018502,644,102
2011,21720,4,total_post,232.50125372368038,1253,114
2011,21720,12,female_male,536.953506766759,1248,114
2011,21740,0,total_pre,458.307187987405,1740,267
2011,21740,1,male,372.8270071115919,732,242
