"","All","EBS","NBS"
"1994",5405.98618209227,8962.53417433834,206.125027445066
"1995",5867.77558719655,8460.75201398661,237.33586858827
"1996",2958.66115215507,6310.32102839355,169.114561767677
"1997",3399.08627074477,8155.52275663868,300.629827820764
"1998",2253.53292695362,6233.95570969944,204.154500813481
"1999",3622.82671650076,6655.52698022565,175.886854479958
"2000",4062.53091908242,8402.98225688109,236.22736059782
"2001",3715.00420112223,10763.712424233,200.568882633706
"2002",2291.87591529939,6329.78727898601,158.00036730796
"2003",2617.83467300443,8374.01440684937,217.745046509907
"2004",2957.30748705867,6428.74171332857,179.838270981693
"2005",1953.69049402792,3914.50152366493,134.223770322927
"2006",2401.76794940257,4148.57230652118,104.292640230496
"2007",4383.21807015996,6849.25452020946,250.15683837373
"2008",5000.16350912279,7698.89653730475,172.690445232819
"2009",9938.89427592451,14689.3563680809,345.01443090094
"2010",14451.6933985747,15771.2291613829,302.639426932519
"2011",11937.0551572157,25596.9540454548,358.267666631993
"2012",7493.74193923674,14087.0901451238,221.070842813041
"2013",4546.3937048977,9730.50341218707,176.00603882281
"2014",6658.57892667071,21685.0911314275,491.504084468444
"2015",7932.4343876356,17806.0857416306,461.418126226107
"2016",6737.67573703613,22350.2405464336,816.025918852598
"2017",15273.832402569,12650.5260197019,3935.22838399408
"2018",6607.01935919896,7405.67458859877,2072.33394336616
"2019",5709.06051482089,4781.92713765641,2019.71524665828
